Connecting to host 192.168.2.22, port 5201
[  4] local 192.168.1.11 port 56260 connected to 192.168.2.22 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   137 MBytes  140558 KBytes/sec  123    250 KBytes       
[  4]   1.00-2.00   sec   131 MBytes  133814 KBytes/sec  156    272 KBytes       
[  4]   2.00-3.00   sec   141 MBytes  144257 KBytes/sec  409    259 KBytes       
[  4]   3.00-4.00   sec   121 MBytes  124353 KBytes/sec  189    267 KBytes       
[  4]   4.00-5.00   sec   130 MBytes  132718 KBytes/sec  227    221 KBytes       
[  4]   5.00-6.00   sec   125 MBytes  127600 KBytes/sec  153    221 KBytes       
[  4]   6.00-7.00   sec   102 MBytes  104387 KBytes/sec  234    199 KBytes       
[  4]   7.00-8.00   sec  51.8 MBytes  53022 KBytes/sec  155    195 KBytes       
[  4]   8.00-9.00   sec  43.7 MBytes  44736 KBytes/sec  139    239 KBytes       
[  4]   9.00-10.00  sec  18.4 MBytes  18831 KBytes/sec   71    204 KBytes       
[  4]  10.00-11.00  sec  47.8 MBytes  48943 KBytes/sec  123    250 KBytes       
[  4]  11.00-12.00  sec  24.3 MBytes  24846 KBytes/sec   90    205 KBytes       
[  4]  12.00-13.00  sec  35.6 MBytes  36434 KBytes/sec   99   1.41 KBytes       
[  4]  13.00-14.00  sec  49.4 MBytes  50618 KBytes/sec  149    180 KBytes       
[  4]  14.00-15.00  sec  31.0 MBytes  31777 KBytes/sec  234    199 KBytes       
[  4]  15.00-16.00  sec  20.1 MBytes  20520 KBytes/sec  109   1.41 KBytes       
[  4]  16.00-17.00  sec  46.0 MBytes  47132 KBytes/sec  147    185 KBytes       
[  4]  17.00-18.00  sec  28.3 MBytes  28974 KBytes/sec   70   1.41 KBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 KBytes/sec    1   1.41 KBytes       
[  4]  19.00-20.00  sec  26.3 MBytes  26906 KBytes/sec   91   1.41 KBytes       
[  4]  20.00-21.00  sec  6.34 MBytes  6491 KBytes/sec   12   1.41 KBytes       
[  4]  21.00-22.00  sec  17.8 MBytes  18248 KBytes/sec   96   1.41 KBytes       
[  4]  22.00-23.00  sec  0.00 Bytes  0.00 KBytes/sec    1   1.41 KBytes       
[  4]  23.00-24.00  sec   118 MBytes  120747 KBytes/sec  234    198 KBytes       
[  4]  24.00-25.00  sec   127 MBytes  129742 KBytes/sec   96    245 KBytes       
[  4]  25.00-26.00  sec  63.1 MBytes  64562 KBytes/sec  202    189 KBytes       
[  4]  26.00-27.00  sec  13.4 MBytes  13677 KBytes/sec   68   1.41 KBytes       
[  4]  27.00-28.00  sec  4.29 MBytes  4393 KBytes/sec    0    426 KBytes       
[  4]  28.00-29.00  sec  10.8 MBytes  11057 KBytes/sec    0    911 KBytes       
[  4]  29.00-30.00  sec  12.5 MBytes  12793 KBytes/sec  242    472 KBytes       
