Connecting to host 192.168.2.22, port 5201
[  4] local 192.168.1.11 port 56268 connected to 192.168.2.22 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   111 MBytes  113962 KBytes/sec  182    180 KBytes       
[  4]   1.00-2.00   sec   122 MBytes  124702 KBytes/sec  163    255 KBytes       
[  4]   2.00-3.00   sec  23.6 MBytes  24164 KBytes/sec   68    250 KBytes       
[  4]   3.00-4.00   sec  3.36 MBytes  3438 KBytes/sec    0    250 KBytes       
[  4]   4.00-5.01   sec  2.61 MBytes  2634 KBytes/sec    0    252 KBytes       
[  4]   5.01-6.01   sec  3.29 MBytes  3377 KBytes/sec    0    259 KBytes       
[  4]   6.01-7.00   sec  3.36 MBytes  3475 KBytes/sec    0    263 KBytes       
[  4]   7.00-8.01   sec  3.48 MBytes  3549 KBytes/sec    0    272 KBytes       
[  4]   8.01-9.00   sec  3.23 MBytes  3329 KBytes/sec    0    281 KBytes       
[  4]   9.00-10.00  sec  3.29 MBytes  3373 KBytes/sec    0    290 KBytes       
[  4]  10.00-11.00  sec  3.36 MBytes  3436 KBytes/sec    0    300 KBytes       
[  4]  11.00-12.00  sec  4.29 MBytes  4388 KBytes/sec    0    313 KBytes       
[  4]  12.00-13.00  sec  3.67 MBytes  3753 KBytes/sec    0    358 KBytes       
[  4]  13.00-14.00  sec  4.85 MBytes  4963 KBytes/sec    0    421 KBytes       
[  4]  14.00-15.00  sec  5.97 MBytes  6109 KBytes/sec    0    506 KBytes       
[  4]  15.00-16.00  sec  8.09 MBytes  8281 KBytes/sec    0    619 KBytes       
[  4]  16.00-17.00  sec  8.75 MBytes  8966 KBytes/sec    0    762 KBytes       
[  4]  17.00-18.00  sec  7.50 MBytes  7680 KBytes/sec  192    622 KBytes       
[  4]  18.00-19.00  sec  7.50 MBytes  7678 KBytes/sec    0    701 KBytes       
[  4]  19.00-20.00  sec  8.75 MBytes  8961 KBytes/sec    0    758 KBytes       
[  4]  20.00-21.00  sec  10.0 MBytes  10246 KBytes/sec    0    798 KBytes       
[  4]  21.00-22.00  sec  10.0 MBytes  10235 KBytes/sec    0    823 KBytes       
[  4]  22.00-23.00  sec  5.00 MBytes  5115 KBytes/sec  228    427 KBytes       
[  4]  23.00-24.00  sec  3.75 MBytes  3836 KBytes/sec    0    460 KBytes       
[  4]  24.00-25.00  sec  3.75 MBytes  3845 KBytes/sec    0    479 KBytes       
[  4]  25.00-26.00  sec  5.00 MBytes  5122 KBytes/sec    0    489 KBytes       
[  4]  26.00-27.00  sec  3.75 MBytes  3842 KBytes/sec    0    492 KBytes       
[  4]  27.00-28.00  sec  5.00 MBytes  5117 KBytes/sec    0    492 KBytes       
[  4]  28.00-29.00  sec  5.00 MBytes  5121 KBytes/sec    0    492 KBytes       
[  4]  29.00-30.00  sec  3.75 MBytes  3837 KBytes/sec    0    498 KBytes       
[  4]  30.00-31.00  sec  5.00 MBytes  5125 KBytes/sec    0    509 KBytes       
[  4]  31.00-32.00  sec  5.00 MBytes  5118 KBytes/sec    0    532 KBytes       
[  4]  32.00-33.00  sec  3.75 MBytes  3837 KBytes/sec    0    567 KBytes       
[  4]  33.00-34.00  sec  6.25 MBytes  6411 KBytes/sec    0    619 KBytes       
[  4]  34.00-35.00  sec  6.25 MBytes  6396 KBytes/sec    0    697 KBytes       
[  4]  35.00-36.00  sec  5.00 MBytes  5120 KBytes/sec    0    795 KBytes       
[  4]  36.00-37.00  sec  7.50 MBytes  7681 KBytes/sec    0    930 KBytes       
[  4]  37.00-38.00  sec  5.00 MBytes  5122 KBytes/sec  505    341 KBytes       
[  4]  38.00-39.00  sec  5.00 MBytes  5117 KBytes/sec    0    535 KBytes       
